Plot_id,Forest_type,Tenure,C_Tree_total,Scale_factor,C_ha,Shannon_index,Simpson_index
1,Dipterocarpus_Forest,Protected_Area,6.144680496,0.04,153.6170124,1.48445753581749,0.710059171597633
2,Dipterocarpus_Forest,Protected_Area,6.682943041,0.04,167.073576025,1.86423693641647,0.81994459833795
3,Dipterocarpus_Forest,Protected_Area,3.381496255,0.04,84.537406375,1.75824285971655,0.802768166089965
4,Dipterocarpus_Forest,Protected_Area,4.541472943,0.04,113.536823575,1.721402322014,0.8125
5,Dipterocarpus_Forest,Protected_Area,7.049114602,0.04,176.22786505,1.73512645696292,0.814814814814815
6,Dipterocarpus_Forest,Protected_Area,11.98403559,0.04,299.60088975,1.20333204069947,0.602076124567474
7,Dipterocarpus_Forest,Protected_Area,6.78709515,0.04,169.67737875,1.80901028426687,0.816608996539792
8,Dipterocarpus_Forest,Protected_Area,5.555278385,0.04,138.881959625,2.01016265863961,0.842105263157895
9,Dipterocarpus_Forest,Protected_Area,8.47372271,0.04,211.84306775,1.77823098169248,0.809688581314879
10,Dipterocarpus_Forest,Protected_Area,6.287091754,0.04,157.17729385,1.26100156517892,0.635
11,Dipterocarpus_Forest,Protected_Area,5.809528794,0.04,145.23821985,1.58327550524587,0.755
12,Dipterocarpus_Forest,Protected_Area,4.115344983,0.04,102.883624575,1.26585675187274,0.698224852071006
13,Dipterocarpus_Forest,Protected_Area,4.441651015,0.04,111.041275375,1.20333204069947,0.602076124567474
14,Dipterocarpus_Forest,Protected_Area,5.937279677,0.04,148.431991925,1.65934768437101,0.772108843537415
15,Dipterocarpus_Forest,Protected_Area,7.217287081,0.04,180.432177025,1.62882909727003,0.74234693877551
16,Dipterocarpus_Forest,Protected_Area,6.813090032,0.04,170.3272508,1.35923670066501,0.68
17,Dipterocarpus_Forest,Protected_Area,6.514097092,0.04,162.8524273,1.20333204069947,0.602076124567474
18,Dipterocarpus_Forest,Protected_Area,9.48514355,0.04,237.12858875,2.05951483286006,0.836805555555556
19,Dipterocarpus_Forest,Protected_Area,9.960376379,0.04,249.009409475,1.63263092715435,0.777777777777778
20,Dipterocarpus_Forest,Protected_Area,5.981964452,0.04,149.5491113,1.75824285971655,0.802768166089965
