Plot_id,Forest_type,Tenure,C_Tree_total,Scale_factor,C_ha,Shannon_index,Simpson_index,Mean_temperature,Mean_precipitation,precipitation_of_wettest_month,pecipiation_of_dryiest_month,Pieolou_evenness
1,Dipterocarpus_Forest,Protected_Area,6.144680496,0.04,153.6170124,1.484457536,0.710059172,24.19440902,791.9181638,153.2458353,1,0.828491525403818
2,Dipterocarpus_Forest,Protected_Area,6.682943041,0.04,167.073576,1.864236936,0.819944598,24.21409913,791.1570509,153.0684132,1,0.896508461070023
3,Dipterocarpus_Forest,Protected_Area,3.381496255,0.04,84.53740638,1.75824286,0.802768166,24.22562631,790.842485,152.9287085,1,0.903558091091786
4,Dipterocarpus_Forest,Protected_Area,4.541472943,0.04,113.5368236,1.721402322,0.8125,24.37819576,783.9678868,151.6353348,1,0.960732928486008
5,Dipterocarpus_Forest,Protected_Area,7.049114602,0.04,176.2278651,1.735126457,0.814814815,24.52941139,777.612514,150.6567559,1,0.968392514041223
6,Dipterocarpus_Forest,Protected_Area,11.98403559,0.04,299.6008898,1.203332041,0.602076125,24.48841164,779.5560121,151.0562804,1,0.74767223476149
7,Dipterocarpus_Forest,Protected_Area,6.78709515,0.04,169.6773788,1.809010284,0.816608997,24.42432754,782.1745203,151.4820861,1,0.929647386414574
8,Dipterocarpus_Forest,Protected_Area,5.555278385,0.04,138.8819596,2.010162659,0.842105263,24.32689734,786.5214217,152.321733,1,0.914864451897134
9,Dipterocarpus_Forest,Protected_Area,8.47372271,0.04,211.8430678,1.778230982,0.809688581,24.44320078,781.5808711,151.67837,1,0.913829953842301
10,Dipterocarpus_Forest,Protected_Area,6.287091754,0.04,157.1772939,1.261001565,0.635,24.52296887,778.9948364,151.4947424,1,0.783504324980012
11,Dipterocarpus_Forest,Protected_Area,5.809528794,0.04,145.2382199,1.583275505,0.755,24.42206323,782.6171235,152.0092438,1,0.883642884236017
12,Dipterocarpus_Forest,Protected_Area,4.115344983,0.04,102.8836246,1.265856752,0.698224852,24.44801382,781.5746077,151.7350734,1,0.913122629201305
13,Dipterocarpus_Forest,Protected_Area,4.441651015,0.04,111.0412754,1.203332041,0.602076125,24.421202,782.5711673,151.7885058,1,0.74767223476149
14,Dipterocarpus_Forest,Protected_Area,5.937279677,0.04,148.4319919,1.659347684,0.772108844,24.31413494,786.6127182,152.3585942,1,0.884359413821718
15,Dipterocarpus_Forest,Protected_Area,7.217287081,0.04,180.432177,1.628829097,0.742346939,24.29939748,786.8322632,152.240204,1,0.783301220362371
16,Dipterocarpus_Forest,Protected_Area,6.813090032,0.04,170.3272508,1.359236701,0.68,24.34385496,784.9402964,152.1369615,1,0.844541246458714
17,Dipterocarpus_Forest,Protected_Area,6.514097092,0.04,162.8524273,1.203332041,0.602076125,24.42391152,781.3320592,151.4913616,1,0.74767223476149
18,Dipterocarpus_Forest,Protected_Area,9.48514355,0.04,237.1285888,2.059514833,0.836805556,24.48788456,778.4778928,150.9799308,1,0.858884395921336
19,Dipterocarpus_Forest,Protected_Area,9.960376379,0.04,249.0094095,1.632630927,0.777777778,24.59258201,774.9047056,150.4322894,1,0.911188669681059
20,Dipterocarpus_Forest,Protected_Area,5.981964452,0.04,149.5491113,1.75824286,0.802768166,24.45708593,780.6355642,151.0526561,1,0.903558091091786
21,Dipterocarpus_Forest,Protected_Area,5.778990467,0.04,144.4747617,1.519869384,0.763705104,24.324546,786.614144,152.4970832,1,0.944347943941053
22,Dipterocarpus_Forest,Protected_Area,6.013562134,0.04,150.3390534,1.330407393,0.690972222,24.43112794,782.218736,151.9743008,1,0.82662859061866
23,Dipterocarpus_Forest,Protected_Area,9.223415114,0.04,230.5853779,1.748547155,0.771604938,24.51532811,779.3399408,151.3570568,1,0.840873436510341
24,Dipterocarpus_Forest,Protected_Area,6.461809736,0.04,161.5452434,1.153107117,0.569444444,24.42114847,782.3954576,151.5334064,1,0.716465735358145
25,Dipterocarpus_Forest,Protected_Area,7.617606191,0.04,190.4401548,1.282769911,0.58,24.52582881,778.9528342,151.023739,1,0.659213330734709
26,Dry_Forest,Protected_Area,1.513783238,0.04,37.84458095,0,0,25.98190708,743.3065213,146,1,NA
27,Dry_Forest,Protected_Area,2.505629867,0.04,62.64074668,0.950270539,0.56,25.93633857,743.9459744,146,1,0.864973520717927
28,Dry_Forest,Protected_Area,18.7725272,0.04,469.3131801,0.693147181,0.5,25.88570233,744.661868,146,1,1
29,Dry_Forest,Protected_Area,13.17646114,0.04,329.4115286,1.494175138,0.75,25.79627312,746.4009165,146.0514291,1,0.928383211769586
30,Dry_Forest,Protected_Area,3.289199372,0.04,82.2299843,0.450561209,0.277777778,25.73807722,747.5644595,146.0804149,1,0.650022421648354
31,Dry_Forest,Protected_Area,11.58339029,0.04,289.5847572,1.098612289,0.666666667,25.63071377,750.2252666,146.2920166,1,1
32,Dry_Forest,Protected_Area,9.992823991,0.04,249.8205998,0,1,25.53029976,752.9533568,146.6724,1,0
33,Dry_Forest,Protected_Area,11.98559008,0.04,299.6397521,0,0,25.46234263,755.1223712,146.9508,1,NA
34,Dry_Forest,Protected_Area,8.826329871,0.04,220.6582468,1.039720771,0.625,25.39870208,757.3416214,147.2088,1,0.946394630357186
35,Dry_Forest,Protected_Area,14.47618069,0.04,361.9045173,1.098612289,0.666666667,25.43976949,756.1175856,147.0441976,1,1
36,Dry_Forest,Protected_Area,24.41717603,0.04,610.4294009,0.900256051,0.53125,25.51209397,754.1128,146.816,1,0.819448371872804
37,Dry_Forest,Protected_Area,10.25822447,0.04,256.4556117,0.955699891,0.571428571,25.5714113,752.5024,146.6336,1,0.869915529773626
38,Dry_Forest,Protected_Area,13.23686405,0.04,330.9216013,1.039720771,0.625,25.57856557,752.2063552,146.5865888,1,0.946394630357186
39,Dry_Forest,Protected_Area,9.002157804,0.04,225.0539451,1.791759469,0.833333333,25.64428588,750.3754739,146.4000685,1,1
40,Dry_Forest,Protected_Area,8.859313077,0.04,221.4828269,0.636514168,0.444444444,25.76901485,747.2764595,146.1539149,1,0.918295834054489
41,Dry_Forest,Protected_Area,20.43009888,0.04,510.7524721,0.636514168,0.444444444,25.69758632,748.3633754,146.0977438,1,0.918295834054489
42,Dry_Forest,Protected_Area,18.27702308,0.04,456.9255769,1.153741943,0.612244898,25.64915634,749.3056784,146.1984,1,0.832248889600231
43,Dry_Forest,Protected_Area,25.6630071,0.04,641.5751776,0,0,25.58096334,750.6490515,146.466,1,NA
44,Dry_Forest,Protected_Area,14.50053092,0.04,362.513273,0.693147181,0.5,25.52370761,751.7945341,146.6904,1,1
45,Dry_Forest,Protected_Area,21.47772285,0.04,536.9430713,0.693147181,0.5,25.51908756,751.5410912,146.7012,1,1
46,Dry_Forest,Protected_Area,18.60006046,0.04,465.0015115,1.242453325,0.666666667,25.5577132,750.765367,146.6387418,1,0.896240625180289
47,Dry_Forest,Protected_Area,14.87120722,0.04,371.7801806,0.636514168,0.444444444,25.62635403,749.509879,146.4859698,1,0.918295834054489
