"Plot_id","Forest_Type","Binomial","Genus","Species","Family","Dbh_cm","H_m","N","E","Mean_temperature","Mean_precipation"
1,"Dipterocarpus_Forest","Shorea obtusa","Shorea","obtusa","Dipterocarpaceae",33,25,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Vitex peduncularis","Vitex","peduncularis","Verbenaceae",10,15,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Diospyros burmanica","Diospyros","burmanica","Ebenaceae",9,20,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Dalbergia oliveri","Dalbergia","oliveri","Fabaceae",21,20,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Pittosporum napaulensis","Pittosporum","napaulensis","Pittosporaceae",7,15,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Diospyros burmanica","Diospyros","burmanica","Ebenaceae",9,30,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Shorea obtusa","Shorea","obtusa","Dipterocarpaceae",11,20,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Shorea obtusa","Shorea","obtusa","Dipterocarpaceae",12,20,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Shorea obtusa","Shorea","obtusa","Dipterocarpaceae",11,25,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Shorea obtusa","Shorea","obtusa","Dipterocarpaceae",12,20,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Dalbergia oliveri","Dalbergia","oliveri","Fabaceae",7,15,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Shorea obtusa","Shorea","obtusa","Dipterocarpaceae",7,15,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Shorea siamensis","Shorea","siamensis","Dipterocarpaceae",21,30,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Shorea obtusa","Shorea","obtusa","Dipterocarpaceae",9,20,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Diospyros burmanica","Diospyros","burmanica","Ebenaceae",15,35,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Shorea obtusa","Shorea","obtusa","Dipterocarpaceae",8,20,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Vitex limnifolia","Vitex","limnifolia","Verbenaceae",13,30,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Dalbergia oliveri","Dalbergia","oliveri","Fabaceae",10,20,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Shorea obtusa","Shorea","obtusa","Dipterocarpaceae",21,20,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Shorea obtusa","Shorea","obtusa","Dipterocarpaceae",8,25,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Shorea siamensis","Shorea","siamensis","Dipterocarpaceae",12,30,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Strychnos potatorum","Strychnos","potatorum","Loganiaceae",9,25,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Vitex peduncularis","Vitex","peduncularis","Verbenaceae",10,12,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Dalbergia oliveri","Dalbergia","oliveri","Fabaceae",11,40,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Shorea obtusa","Shorea","obtusa","Dipterocarpaceae",30,25,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Dalbergia oliveri","Dalbergia","oliveri","Fabaceae",15,40,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Shorea obtusa","Shorea","obtusa","Dipterocarpaceae",32,30,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Xylia xylocarpa","Xylia","xylocarpa","Mimosaceae",12,25,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Shorea obtusa","Shorea","obtusa","Dipterocarpaceae",29,25,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Shorea obtusa","Shorea","obtusa","Dipterocarpaceae",11,15,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Xylia xylocarpa","Xylia","xylocarpa","Mimosaceae",6,17,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Shorea obtusa","Shorea","obtusa","Dipterocarpaceae",8,15,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Shorea obtusa","Shorea","obtusa","Dipterocarpaceae",11,10,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Dipterocarpus tuberculatus","Dipterocarpus","tuberculatus","Dipterocarpaceae",30,35,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Dalbergia oliveri","Dalbergia","oliveri","Fabaceae",15,40,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Shorea obtusa","Shorea","obtusa","Dipterocarpaceae",13.5,15,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Terminalia crenulata","Terminalia","crenulata","Combretaceae",12,40,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Pittosporum napaulensis","Pittosporum","napaulensis","Pittosporaceae",11,25,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Shorea obtusa","Shorea","obtusa","Dipterocarpaceae",11,25,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Lophopetalum wallichii","Lophopetalum","wallichii","Celastraceae",14.5,25,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Flacourtia cataphracta","Flacourtia","cataphracta","Flacourtiaceae",9,30,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Shorea siamensis","Shorea","siamensis","Dipterocarpaceae",9.5,10,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Chionanthus ramiflora","Chionanthus","ramiflora","Oleaceae",14,15,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Shorea obtusa","Shorea","obtusa","Dipterocarpaceae",7,15,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Strychnos potatorum","Strychnos","potatorum","Loganiaceae",12,15,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Shorea obtusa","Shorea","obtusa","Dipterocarpaceae",22,30,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Shorea obtusa","Shorea","obtusa","Dipterocarpaceae",9,20,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Strychnos potatorum","Strychnos","potatorum","Loganiaceae",9.5,15,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Shorea obtusa","Shorea","obtusa","Dipterocarpaceae",13,30,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Shorea siamensis","Shorea","siamensis","Dipterocarpaceae",9.5,10,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
1,"Dipterocarpus_Forest","Shorea obtusa","Shorea","obtusa","Dipterocarpaceae",9,10,20.8903912173615,95.2497762257204,24.1944093372138,791.91814843519
